StudentID,District,Priority
1,Rural,Grades
2,Rural,Grades
2,Rural,Grades
3,Rural,Grades
4,Rural,Grades
5,Rural,Grades
6,Rural,Grades
7,Rural,Grades
8,Rural,Grades
9,Rural,Grades
10,Rural,Grades
11,Rural,Grades
12,Rural,Grades
13,Rural,Grades
14,Rural,Grades
15,Rural,Grades
16,Rural,Grades
17,Rural,Grades
18,Rural,Grades
19,Rural,Grades
20,Rural,Grades
21,Rural,Grades
22,Rural,Grades
23,Rural,Grades
24,Rural,Grades
25,Rural,Grades
26,Rural,Grades
27,Rural,Grades
28,Rural,Grades
29,Rural,Grades
30,Rural,Grades
31,Rural,Grades
32,Rural,Grades
33,Rural,Grades
34,Rural,Grades
35,Rural,Grades
36,Rural,Grades
37,Rural,Grades
38,Rural,Grades
39,Rural,Grades
40,Rural,Grades
41,Rural,Grades
42,Rural,Grades
43,Rural,Grades
44,Rural,Grades
45,Rural,Grades
46,Rural,Grades
47,Rural,Grades
48,Rural,Grades
49,Rural,Grades
50,Rural,Grades
51,Rural,Grades
52,Rural,Grades
53,Rural,Grades
54,Rural,Grades
55,Rural,Grades
56,Rural,Grades
57,Rural,Popular
58,Rural,Popular
59,Rural,Popular
60,Rural,Popular
61,Rural,Popular
62,Rural,Popular
63,Rural,Popular
64,Rural,Popular
65,Rural,Popular
66,Rural,Popular
67,Rural,Popular
68,Rural,Popular
69,Rural,Popular
70,Rural,Popular
71,Rural,Popular
72,Rural,Popular
73,Rural,Popular
74,Rural,Popular
75,Rural,Popular
76,Rural,Popular
77,Rural,Popular
78,Rural,Popular
79,Rural,Popular
80,Rural,Popular
81,Rural,Popular
82,Rural,Popular
83,Rural,Popular
84,Rural,Popular
85,Rural,Popular
86,Rural,Popular
87,Rural,Popular
88,Rural,Popular
89,Rural,Popular
90,Rural,Popular
91,Rural,Popular
92,Rural,Popular
93,Rural,Popular
94,Rural,Popular
95,Rural,Popular
96,Rural,Popular
97,Rural,Popular
98,Rural,Popular
99,Rural,Popular
100,Rural,Popular
101,Rural,Popular
102,Rural,Popular
103,Rural,Popular
104,Rural,Popular
105,Rural,Popular
106,Rural,Popular
107,Rural,Sports
108,Rural,Sports
109,Rural,Sports
110,Rural,Sports
111,Rural,Sports
112,Rural,Sports
113,Rural,Sports
114,Rural,Sports
115,Rural,Sports
116,Rural,Sports
117,Rural,Sports
118,Rural,Sports
119,Rural,Sports
120,Rural,Sports
121,Rural,Sports
122,Rural,Sports
123,Rural,Sports
124,Rural,Sports
125,Rural,Sports
126,Rural,Sports
127,Rural,Sports
128,Rural,Sports
129,Rural,Sports
130,Rural,Sports
131,Rural,Sports
132,Rural,Sports
133,Rural,Sports
134,Rural,Sports
135,Rural,Sports
136,Rural,Sports
137,Rural,Sports
138,Rural,Sports
139,Rural,Sports
140,Rural,Sports
141,Rural,Sports
142,Rural,Sports
143,Rural,Sports
144,Rural,Sports
145,Rural,Sports
146,Rural,Sports
147,Rural,Sports
148,Rural,Sports
149,Suburban,Grades
150,Suburban,Grades
151,Suburban,Grades
152,Suburban,Grades
153,Suburban,Grades
154,Suburban,Grades
155,Suburban,Grades
156,Suburban,Grades
157,Suburban,Grades
158,Suburban,Grades
159,Suburban,Grades
160,Suburban,Grades
161,Suburban,Grades
162,Suburban,Grades
163,Suburban,Grades
164,Suburban,Grades
165,Suburban,Grades
166,Suburban,Grades
167,Suburban,Grades
168,Suburban,Grades
169,Suburban,Grades
170,Suburban,Grades
171,Suburban,Grades
172,Suburban,Grades
173,Suburban,Grades
174,Suburban,Grades
175,Suburban,Grades
176,Suburban,Grades
177,Suburban,Grades
178,Suburban,Grades
179,Suburban,Grades
180,Suburban,Grades
181,Suburban,Grades
182,Suburban,Grades
183,Suburban,Grades
184,Suburban,Grades
185,Suburban,Grades
186,Suburban,Grades
187,Suburban,Grades
188,Suburban,Grades
189,Suburban,Grades
190,Suburban,Grades
191,Suburban,Grades
192,Suburban,Grades
193,Suburban,Grades
194,Suburban,Grades
195,Suburban,Grades
196,Suburban,Grades
197,Suburban,Grades
198,Suburban,Grades
199,Suburban,Grades
200,Suburban,Grades
201,Suburban,Grades
202,Suburban,Grades
203,Suburban,Grades
204,Suburban,Grades
205,Suburban,Grades
206,Suburban,Grades
207,Suburban,Grades
208,Suburban,Grades
209,Suburban,Grades
210,Suburban,Grades
211,Suburban,Grades
212,Suburban,Grades
213,Suburban,Grades
214,Suburban,Grades
215,Suburban,Grades
216,Suburban,Grades
217,Suburban,Grades
218,Suburban,Grades
219,Suburban,Grades
220,Suburban,Grades
221,Suburban,Grades
222,Suburban,Grades
223,Suburban,Grades
224,Suburban,Grades
225,Suburban,Grades
226,Suburban,Grades
227,Suburban,Grades
228,Suburban,Grades
229,Suburban,Grades
230,Suburban,Grades
231,Suburban,Grades
232,Suburban,Grades
233,Suburban,Grades
234,Suburban,Grades
235,Suburban,Grades
236,Suburban,Popular
237,Suburban,Popular
238,Suburban,Popular
239,Suburban,Popular
240,Suburban,Popular
241,Suburban,Popular
242,Suburban,Popular
243,Suburban,Popular
244,Suburban,Popular
245,Suburban,Popular
246,Suburban,Popular
247,Suburban,Popular
248,Suburban,Popular
249,Suburban,Popular
250,Suburban,Popular
251,Suburban,Popular
252,Suburban,Popular
253,Suburban,Popular
254,Suburban,Popular
255,Suburban,Popular
256,Suburban,Popular
257,Suburban,Popular
258,Suburban,Popular
259,Suburban,Popular
260,Suburban,Popular
261,Suburban,Popular
262,Suburban,Popular
263,Suburban,Popular
264,Suburban,Popular
265,Suburban,Popular
266,Suburban,Popular
267,Suburban,Popular
268,Suburban,Popular
269,Suburban,Popular
270,Suburban,Popular
271,Suburban,Popular
272,Suburban,Popular
273,Suburban,Popular
274,Suburban,Popular
275,Suburban,Popular
276,Suburban,Popular
277,Suburban,Popular
278,Suburban,Sports
279,Suburban,Sports
280,Suburban,Sports
281,Suburban,Sports
282,Suburban,Sports
283,Suburban,Sports
284,Suburban,Sports
285,Suburban,Sports
286,Suburban,Sports
287,Suburban,Sports
288,Suburban,Sports
289,Suburban,Sports
290,Suburban,Sports
291,Suburban,Sports
292,Suburban,Sports
293,Suburban,Sports
294,Suburban,Sports
295,Suburban,Sports
296,Suburban,Sports
297,Suburban,Sports
298,Suburban,Sports
299,Suburban,Sports
300,Urban,Grades
301,Urban,Grades
302,Urban,Grades
303,Urban,Grades
304,Urban,Grades
305,Urban,Grades
306,Urban,Grades
307,Urban,Grades
308,Urban,Grades
309,Urban,Grades
310,Urban,Grades
311,Urban,Grades
312,Urban,Grades
313,Urban,Grades
314,Urban,Grades
315,Urban,Grades
316,Urban,Grades
317,Urban,Grades
318,Urban,Grades
319,Urban,Grades
320,Urban,Grades
321,Urban,Grades
322,Urban,Grades
323,Urban,Grades
324,Urban,Popular
325,Urban,Popular
326,Urban,Popular
327,Urban,Popular
328,Urban,Popular
329,Urban,Popular
330,Urban,Sports
331,Urban,Sports
332,Urban,Sports
333,Urban,Sports
334,Urban,Sports
